index,Number,Resource,Kind,AuditDepth,Repository,Revision,LicenseStatus,Decision,NextAction
0,1,FAtiMA Toolkit,Codebase,"Deep source audit (completed previously, incorporated by reference)",GAIPS/FAtiMA-Toolkit,56b7cbd992f953cfe21a7b12cb1a0e6cdf6ccf9f,Apache-2.0 observed,Selective adaptation/porting only. Dagmay remains persistence and identity authority.,Build a pure AppraisalInput→AppraisalResult comparative implementation after continuity hardening; benchmark against GAMYGDALA and current Dagmay.
1,2,GAMYGDALA,Codebase,Deep representative source audit,broekens/gamygdala,145ba78bdfe45ae7a07229e822fcf39a21973f8d,MIT observed,Reimplement a minimal GAMYGDALA-inspired baseline behind Dagmay's pure appraisal contract. Do not embed the engine.,"Appraisal Lab condition B: identical synthetic histories through GAMYGDALA-inspired appraisal; measure traceability, stability, cost, and sensitivity to repeated evidence."
2,3,Graphiti,Codebase,Deep representative source audit,getzep/graphiti,0b4bcf1284ee5fba56b77ed9961568a541e0d418,Apache-2.0 observed in inspected source,High-priority data-model adaptation. Build a small Dagmay-native C# temporal belief graph inspired by Graphiti.,"Prototype BeliefId, proposition, perspective, confidence, source MemoryIds, validFrom/validTo, supersedes, contradictedBy, mechanismVersion."
3,4,LongMemEval + LongMemEval-V2,Benchmark/code,Deep representative harness audit,xiaowu0162/longmemeval + xiaowu0162/LongMemEval-V2,V2 inspected at be15ea6e995462f3391c1a610892df3f67dfa7bd,Verify each repository/dataset before reuse,Adapt heavily as Dagmay's Long-History Regression Pack rather than use as runtime memory.,"Create deterministic synthetic colony histories with exact ground truth plus Dagmay-only categories: provenance, identity continuity, relationship causality, fork awareness."
4,5,LIFELONG-SOTOPIA / SOTOPIA,Benchmark/code,Representative source and benchmark audit,sotopia-lab/sotopia + LIFELONG-SOTOPIA research,SOTOPIA inspected at a0aaafb440e570e5e61b7c44a44e5e417c545383,Verify current repository,Adapt benchmark scenarios/metrics; do not import as Dagmay cognition.,Build controlled repeated social histories with frozen probes every N episodes and evidence-grounded expected relationship outcomes.
5,6,Event Segmentation Theory + event-memory research,Theory/algorithm landscape,Implementation-landscape audit; no single canonical source repository,No single repository,,,Build a replaceable segmentation interface and compare algorithms offline before production use.,"Preregister fixed-window, rule-causal, prediction-error, and hybrid conditions; measure later causal QA and memory efficiency."
6,7,Complementary Learning Systems + replay literature,Theory + implementation landscape,Theory audit with Avalanche-style replay implementation cross-reference,No single canonical repository; Avalanche is a practical implementation reference,,Depends on implementation,Adopt as research architecture principle and explicitly version replay policy.,"Run developmental substrate with no replay, recent replay, significance replay, balanced replay, and dual-buffer replay."
7,8,PsychSim,Codebase,Deep representative source audit,usc-psychsim/psychsim,56ef6e95a9f22dab3a4c216f34494363c78b621f,Verify current repository before reuse,High-value offline ToM laboratory and data-model reference.,Implement a tiny Dagmay ToM contract and compare against PsychSim on controlled false-belief/social prediction tasks.
8,9,Monty / Thousand Brains Project,Codebase,Deep representative architecture audit,thousandbrainsproject/tbp.monty,10165a2833ad2cdd964b9f45550aee06fc97f361,MIT observed in inspected source,Use as a design/reference implementation in an offline DevelopmentLab.,Model Dagmay micro-observations as structured messages and test one or more simple learning modules without LLM involvement.
9,10,pymdp,Codebase,Deep representative source audit,infer-actively/pymdp,0681ce4258c3dd0626bd5b0952a45a1e4fc49c2e,MIT (reverify current repository),Offline comparative prototype only.,Compare a simple need-based deterministic controller against a pymdp controller on the same tiny partially observable environment.
10,11,Avalanche,Codebase,Deep representative replay audit,ContinualAI/avalanche,eb075be393e1f458b2c352514ff6c17b5a2c0f4e,MIT (reverify current repository),Use in research lab to establish baselines; promote only simple proven mechanisms into Dagmay-native code.,"Benchmark reservoir, balanced, recency, significance, and dual replay on synthetic chronological Dagmay streams."
11,12,Continuum,Codebase,Representative source audit,Continvvm/continuum,43ba0090dec7e5d6976c57df05cb5ef5225e88f2,Verify current repository,Use or emulate in offline developmental experiments.,"Define DagmayExperienceStream manifests with immutable sample order, timestamps, environment seed, and curriculum condition."
12,13,Melting Pot,Codebase/benchmark,Deep representative scenario audit,google-deepmind/meltingpot,cfedcdf8c565532f8da8034fc704e7332f54e990,Apache-2.0 observed in inspected source,High-value social benchmark adapter after Dagmay's action interface exists.,Adapt a small set of repeated dilemmas and partner-swap tests using Dagmay identities while preserving exact interaction provenance.
13,14,BabyAI / maintained MiniGrid successor,Codebase/environment,Implementation succession audit,Original mila-iqia/babyai; BabyAI environments moved into Farama-Foundation/Minigrid,Use current Minigrid at experiment time,Original BSD-3; current Minigrid MIT per project metadata—reverify,Use maintained MiniGrid/BabyAI environments as one early developmental laboratory.,Create a hidden-lexicon condition where symbols and causal rules are randomized per individual.
14,15,AI2-THOR,Codebase/environment,Representative source/architecture audit,allenai/ai2thor,24f79883b4889e3f0e6f4ae301808b9025872dfc,Verify current repository and Unity/assets terms,"P1/P2 future environment adapter, not near-term core.","After synthetic/MiniGrid studies, test whether learned regularities survive noisier visual input."
15,16,Voyager,Codebase/agent,Deep representative SkillManager audit,MineDojo/Voyager,55e45a880755d0c8c66ca7fb5fe7962ac8974f89,MIT listed; reverify current repository,"Adapt architecture later, not implementation now.","Future SkillRecord should have stable SkillId, source EpisodeIds, version, preconditions, postconditions, validation status, and deterministic executor binding."
16,17,Soar,Cognitive architecture,Representative source/architecture audit,SoarGroup/Soar,cd3133ae5bc0ace8485d939f1af14df5bacf36e1,BSD-style per project; reverify,Deep conceptual reference; no production dependency unless a later controlled experiment specifically warrants it.,"Create a crosswalk document: Dagmay evidence/episodic/belief/procedural/working state vs Soar modules, noting intentional differences."
17,18,MicroPsi 2 / Psi theory,Codebase/cognitive architecture,Deep representative motivational-modulator audit,joschabach/micropsi2,74a2642d20da9da1d64acc5e4c11aeabee192a27,"MIT observed, except marked third-party portions",Promote from 'interesting historical architecture' to a serious Appraisal/Motivation Lab comparison source.,Compare Dagmay's threat/agency/certainty updates against a simplified Psi-inspired needs+competence model.
18,19,Comme il Faut,FAtiMA submodule/social engine,Deep source audit as part of FAtiMA,GAIPS/FAtiMA-Toolkit / Assets/CommeillFaut,56b7cbd992f953cfe21a7b12cb1a0e6cdf6ccf9f,Apache-2.0 via FAtiMA repository,Design a Dagmay-native stable-ID social-practice layer later.,"When agency arrives, prototype apology/reconciliation/help-request practices with explicit evidence and validation."
19,20,Leolani / CLTL Combot / episodic knowledge graph,Modular code ecosystem,Deep representative architecture + knowledge source audit,leolani/cltl-combot + leolani/cltl-knowledgerepresentation,Knowledge representation inspected at 42ce562b015b313aed57d7e44a6a9991a73a68ac,MIT stated for cltl-combot; verify each component,Move to P0/P1 design audit alongside Graphiti for temporal beliefs and provenance.,Create a Dagmay Claim/Belief schema combining Graphiti temporal validity with Leolani perspective/provenance/conflict semantics.
