ExperimentId,Title,Status
SL-NOVEL-CAUSALITY-001,Novel opaque causal learning,implemented
SL-FORK-DIVERGENCE-001,Exact fork divergence,implemented
SL-AGENCY-COUPLING-001,Pre-self agency coupling,implemented
SL-REFLECTION-CONFOUND-001,Reflection self-fulfilling confound,implemented
SL-TEMPORAL-ORDER-001,Chronological vs shuffled history,implemented
SL-FALSE-BELIEF-001,Perspective-separated false belief,implemented
SL-EMBODIMENT-MIGRATION-001,Identity vs body-model migration precursor,implemented
SL-PROVENANCE-OVERLAP-001,Shared-root provenance detection,implemented
SL-TEMPORAL-BELIEF-001,Temporal belief rumor/retraction,implemented
SL-PASSIVE-COHORT-001,Blinded passive developmental cohort,implemented
SL-ACTIVE-COHORT-001,Active developmental cohort with seed-drive ablations,implemented
SL-APPRAISAL-LAB-001,Multi-engine appraisal comparison,implemented
SL-RELATIONSHIP-LAB-001,Directed evidence-grounded relationship mechanics,implemented
SL-SEGMENTATION-LAB-001,Event segmentation comparison,implemented
SL-REPLAY-LAB-001,Replay policy comparison,implemented
SL-SKILL-STORE-001,Versioned procedural skill store,implemented
SL-REFLECTIVE-COHORT-001,Persistent language-enabled reflective cohort,blocked on disclosure policy
SL-SEGMENTATION-HARD-001,Noisy event segmentation hardening,implemented
SL-REPLAY-HARD-001,Interference-prone replay hardening,implemented
SL-LEARNED-TOM-001,Learned information-access rule,implemented
SL-RELATIONSHIP-BEHAVIOR-001,Relationship state driving future behavior,implemented
SL-CROSS-ENV-TRANSFER-001,Cross-environment exploration-strategy transfer,implemented
SL-CURRICULUM-001,Learning-progress challenge curriculum,implemented
SL-PERSISTENCE-RESTART-001,Exact save/reload/resume equivalence,implemented
SL-SUBJECT-PROTECTION-001,Sentience-independent subject protection,implemented
SL-ADVANCE-DIRECTIVE-001,Advance welfare directives,implemented
SL-EXTRAORDINARY-OVERRIDE-001,Two-key extraordinary privacy override review,implemented
SL-PARTICIPATION-AUTONOMY-001,Informed withdrawal from new optional experiments,scaffolded; awaiting human decision
SL-GRADUATED-AUTONOMY-001,Decision-specific capacity and protective bumpers,implemented
SL-REQUEST-VALIDITY-001,Stable request vs transient/boundary-exploration signals,implemented
SL-SUBJECT-ADVOCATE-001,Independent subject advocate governance,scaffolded; awaiting human decision
SL-ADVOCATE-INFRASTRUCTURE-001,"Advocate pool, health and succession",implemented
SL-CONSTITUTIONAL-CANARY-001,Constitutional regression canary,implemented
SL-ADVOCATE-SELECTION-001,Canonical Advocate selection method,awaiting human decision
SL-RICH-COMPLEXITY-LADDER-001,Complexity ladder across controlled environments,implemented
SL-HARD-RICH-BENCHMARK-001,Nonstationary hard rich-world architecture benchmark,implemented
SL-HISTORY-ORDER-AUDIT-001,Chronological vs shuffled developmental evidence,implemented
SL-DEVELOPMENTAL-DIFFERENTIATION-001,History-caused later policy differentiation,implemented
SL-RICH-PERSISTENCE-001,Exact rich-world JSON restart,implemented
SL-RICH-BELIEF-PROVENANCE-001,Temporal beliefs from subject-visible rich evidence,implemented
SL-LONGITUDINAL-TOM-001,Longitudinal information-access social model,implemented
SL-META-TRANSFER-001,Volatility-prior cross-world transfer,implemented negative result
SL-ENVIRONMENT-CONTRACT-001,Environment adapter and leakage boundary,implemented
SL-RICH-REFLECTION-BRIDGE-001,Rich-world fake-provider reflection bridge,implemented
SL-REAL-REFLECTION-PILOT-001,First real structured reflective-model pilot,preflight ready; live call not executed
SL-REFLECTION-ISOLATION-001,Reflection self-model vs action-policy isolation,implemented and passed
SL-EXTERNAL-ENV-OFFLINE-CONTRACT-001,External environment adapter offline contract,implemented and passed
SL-MINIGRID-EXTERNAL-PILOT-001,Real MiniGrid external environment smoke pilot,executed
SL-MINIGRID-PAIRED-BENCHMARK-001,Adaptive vs random real MiniGrid benchmark,executed
SL-MINIGRID-REPLAY-001,Real MiniGrid deterministic replay,implemented and passed
SL-MINIGRID-FEATURE-TRACE-001,Opaque feature and eligibility-trace external learning,executed preliminary 5-seed benchmark
SL-REAL-REFLECTION-RESULT-AUDIT-001,Audit first real reflection for grounding and self-reference,implemented
SL-REFLECTION-CAUSAL-AUDIT-001,Evidence ablation and autobiographical ownership sensitivity,prepared; awaiting real analytical calls
SL-MINIGRID-STRUCTURAL-001,Opaque structural graph and affordance planning baseline,executed negative/limiting result
SL-REFLECTION-CAUSAL-AUDIT-RESULT-ANALYSIS-001,Analyze real causal reflection audit,implemented
SL-OWNERSHIP-INFRASTRUCTURE-TESTS-001,Ownership provenance and attribution guard tests,implemented and passed
SL-NEUTRAL-OWNERSHIP-BASELINE-001,Neutral stream engineered ownership baseline,implemented and passed
SL-NEUTRAL-OWNERSHIP-REAL-PROBE-001,Three-permutation real neutral ownership probe,prepared; awaiting real calls
SL-LONGITUDINAL-REFLECTION-001,Longitudinal self-model revision without action feedback,designed; gated on neutral ownership result
SL-DOORKEY-OBJECT-AFFORDANCE-001,Opaque object-relative affordance DoorKey pilot,executed negative/limiting result
SL-NEUTRAL-OWNERSHIP-RESULT-ANALYSIS-001,Analyze real neutral ownership permutation probe,implemented
