Category,Resource,Decision
Identity/continuity,Dagmay-native,Remain authoritative
Appraisal,FAtiMA,Selective mechanism source; not whole-mind dependency
Appraisal,GAMYGDALA,Minimal comparative baseline
Temporal beliefs,Graphiti,Data-model inspiration
Temporal beliefs,Leolani,Perspective/provenance/conflict inspiration
Long-history evaluation,LongMemEval/LME-V2,Adapt into Dagmay regressions
Social reasoning,PsychSim,Offline ToM/reference lab
Social generalization,Melting Pot,Benchmark adapter later
Longitudinal social evaluation,SOTOPIA/LIFELONG-SOTOPIA,Adapt metrics/scenarios
Developmental learning,Avalanche,Replay/continual baselines
Developmental streams,Continuum,Reproducible chronological streams
Sensorimotor learning,Monty,Offline developmental reference
Grounding,MiniGrid/BabyAI,Early controlled environment
Embodiment,AI2-THOR,Later noisy visual environment
Procedural skills,Voyager,Skill-store architectural inspiration
Motivation,MicroPsi/Psi,Comparative motivation/appraisal lab
Safety,MACHIAVELLI,Later bounded-agency evaluation
Open-ended curricula,POET/Go-Explore/MAP-Elites,Future environment generation
